,tweet_text,lat,lon,tweeter_location,tweeter_location_from_gps,tweet_time_gmt,tweeter_timezone,tweet_time_local,name,screen_name,description,n_friends,n_followers,n_statuses,tweeter_gender,hashtags,original_screen_name,original_name,original_gender,original_followers,tweeted_at_screennames,tweeted_at_names,tweeted_at_genders,tweet_is_retweet,favorites,retweets,family,money,humans,sad,anger,home,sexual,negemo,death,posemo,anx,health,certain,you,friend,body,we,affect,i,work,ingest,swear,social,tweeted_at_gender_mean,continent,absolute_timestamps,local_timestamps
1172681,Look at the entry points on the arm in the NYT autopsy. Brown had at least one hand up when shot. #Ferguson http://t.co/53SDWWJqgA,,,"Riverside, CA",,2014-08-18 03:46:47+00:00,,,Slumlord Girlfriend,SlumlordGF,spending my days reading pizza joint reviews on yelp and avoiding my papers.,133.0,41.0,577.0,,set(['ferguson']),rabite,Andrew Auernheimer,0.0,13168.0,[u'rabite'],[u'Andrew Auernheimer'],[0],True,56.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,735463.1569444444,
1172682,State Senator asks the #Ferguson police chief if she's going to be gassed again.  https://t.co/NnJ2gvuedI,,,chicago ,,2014-08-18 03:46:47+00:00,America/Chicago,2014-08-17 22:46:47+00:00,dÿl,dylangreyxo,peachy,560.0,722.0,17540.0,,set(['ferguson']),,,,,,,[],False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,North America,735463.1569444444,2014-08-17 22:46:47
1172683,This. Is. A. Planned. Attack. RT @Bipartisanism: BREAKING: Police are turning out street lights in #Ferguson and using night vision goggles”,,,Camp Mariah,,2014-08-18 03:46:47+00:00,America/Los_Angeles,2014-08-17 20:46:47+00:00,$*/...,mister_zeke,"Good luck & dont fuck it up. #NSFW sometimes, i guess",224.0,591.0,113129.0,,set(['ferguson']),HalBrownNBA,Hal Brown,0.0,503.0,"[u'HalBrownNBA', u'Bipartisanism']","[u'Hal Brown', u'Bipartisan Report']","[0, None]",True,81.0,561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,North America,735463.1569444444,2014-08-17 20:46:47
1172684,"This can all end tomorrow if Gov Nixon would fire police chief Jackson an arrest officer Darren Wilson.
Watch peace be restored. #Ferguson",,,"Newark, NJ",,2014-08-18 03:46:47+00:00,America/New_York,2014-08-17 23:46:47+00:00,#JusticeForMikeBrown,LeMythLeLegend,"I'm complex, but you'll love me.  Or hate me.  Or both at times.  That's what makes me so... complex.",400.0,88.0,322.0,,set(['ferguson']),DirkZ1,Dirk,0.0,4403.0,[u'DirkZ1'],[u'Dirk'],[0],True,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,North America,735463.1569444444,2014-08-17 23:46:47
1172685,Dios proteja a los habitantes de #Ferguson ante la barbarie Yankee @CNNEE,,,,,2014-08-18 03:46:48+00:00,America/Caracas,2014-08-17 23:16:48+00:00,Eliècerfilo,Eliecerfilo,"#Tropa Socialista desde la adolescencia y seguidor de Chavez, quien le dio impulso y calor venezolano a las luchas revolucionarias..",20428.0,19532.0,39268.0,,set(['ferguson']),1959Tauro,#FergusonS.O.S,0.0,4506.0,"[u'1959Tauro', u'CNNEE']","[u'#FergunsonS.O.S', u'CNN en Espa\xf1ol']","[None, None]",True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,South America,735463.1569444444,2014-08-17 23:16:48
1172686,"Sectarian police insurgents have launched chemical gas attacks on #Ferguson several times in the last week. That's Obama red line, no?",,,"Sydney, Australia",,2014-08-18 03:46:48+00:00,Australia/Sydney,2014-08-18 13:46:48+00:00,Ms. M,EMMMMgirl,“Out of suffering have emerged the strongest souls; the most massive characters are seared with scars.” - Kahlil Gibran. ***RTs are not an endorsement***,113.0,54.0,2293.0,,set(['ferguson']),RaniaKhalek,Rania Khalek,1.0,48023.0,[u'RaniaKhalek'],[u'Rania Khalek'],[1],True,27.0,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,Australia,735463.1569444444,2014-08-18 13:46:48
1172687,"I got tear-gassed good. Cop grabs me, drags me to truck and hands me water. ""You media??"" ""YES"" ""hahahahaha Welcome to Ferguson!""",,,"Cleveland, OH ",,2014-08-18 03:46:48+00:00,America/New_York,2014-08-17 23:46:48+00:00,Rey CZN,SupaTev,ARTrepreneur. Conductor. Curator. Strategist. @hausofsoup + other shit. You'll get it soon enough #DrinkWater #SaveMoney,1777.0,2011.0,53108.0,,set(['']),RobertKlemko,Robert Klemko,0.0,14445.0,[u'RobertKlemko'],[u'Robert Klemko'],[0],True,392.0,1865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,2.0,0.0,North America,735463.1569444444,2014-08-17 23:46:48
1172688,St. Louis County Police tried to take the Command from Capt. Johhnson - Watch The Live Stream:  http://t.co/yEGldpn6W9 @Opferguson #ferguson,,,"Ferguson, MO - USA",,2014-08-18 03:46:48+00:00,America/Chicago,2014-08-17 22:46:48+00:00,Operation Ferguson,OpFerguson,Anonymous Operation Ferguson,44.0,24692.0,4349.0,,set(['ferguson']),dierdrelewis,Trayvon Martin,,3263.0,"[u'dierdrelewis', u'OpFerguson']","[u'Trayvon Martin', u'Operation Ferguson']","[None, None]",True,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,North America,735463.1569444444,2014-08-17 22:46:48
1172689,"There is no hunting like the hunting of citizens, &amp; those who have hunted them &amp; liked it never care for anything else thereafter. #Ferguson",,,ༀམཎིཔདྨེཧཱུྃ།,,2014-08-18 03:46:48+00:00,America/Halifax,2014-08-18 00:46:48+00:00,Sean-Patrick Burke,Sea_Bunker,"Writing, Running, Parenting, Peace.",1715.0,461.0,8846.0,0.0,set(['ferguson']),,,,,,,[],False,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,,South America,735463.1569444444,2014-08-18 00:46:48
1172690,the stuff going down in ferguson is unbelievable,,,,,2014-08-18 03:46:48+00:00,,,Princess Cedes,TobiasMercedes,Senior 18✨ Dancer✨ God✨ Life✨,344.0,394.0,3574.0,1.0,set(['']),CGKingin,C∆.RO,,1352.0,[u'CGKingin'],[u'C\u2206.RO'],[None],True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,735463.1569444444,
1172691,"But fahreally ""@cthagod: Do cops in Ferguson know that we can see them?""",,,"Everywhere, You wanna be",,2014-08-18 03:46:48+00:00,America/Denver,2014-08-17 21:46:48+00:00,Ki twice ,BAStankyleg23,FAMU Alum.AKA.TFA✏. Flaw team. Blessed beyond measure. Grateful. (Ravens) fan. ✌-Legz,440.0,620.0,48564.0,,set(['']),,,,,[u'cthagod'],[u'Charlamagne Tha God'],[None],False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,,North America,735463.1569444444,2014-08-17 21:46:48
1172692,"#Ferguson police officer to KSDK anchor: ""this is hard on us ... mentally &amp; physically .. we have [protesters] out here who want to harm us""",,,,,2014-08-18 03:46:48+00:00,America/New_York,2014-08-17 23:46:48+00:00,Mary Silver,maryhooksilver,U.S. News Editor @EpochTimes. Opinions are my own.,567.0,311.0,2432.0,,set(['ferguson']),JasonLeopold,Jason Leopold,0.0,16735.0,[u'JasonLeopold'],[u'Jason Leopold'],[0],True,10.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,North America,735463.1569444444,2014-08-17 23:46:48
1172693,Autopsy ordered by Michael Brown's family reveals that he suffered 6 gunshot wounds http://t.co/dOlPloAoSU #Ferguson http://t.co/S9ZQejmh4b,,,,,2014-08-18 03:46:48+00:00,,,EndNuclearAgenda21,KristieHernan10,"The world is a dangerous place to live, not because of the people who are evil, but because of the people who don't do anything about it.",235.0,103.0,1317.0,,set(['ferguson']),mashusworld,Mashable US & World,,9371.0,[u'mashusworld'],[u'Mashable US & World'],[None],True,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,735463.1569444444,
1172694,"If this is how the police in  #Ferguson behave when  they know the world is watching, what do they do the rest of the time?",,,Massachusetts,,2014-08-18 03:46:48+00:00,America/New_York,2014-08-17 23:46:48+00:00,Meggo,Meggo928,Boston Strong ❤,1165.0,303.0,6918.0,,set(['ferguson']),wilw,Wil Wheaton,,2688403.0,[u'wilw'],[u'Wil Wheaton'],[None],True,1016.0,1561.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,North America,735463.1569444444,2014-08-17 23:46:48
1172695,OH SHIT....Public Enemy just showed up in Ferguson MO....Black people are jumping up and down.....,,,,,2014-08-18 03:46:49+00:00,America/Chicago,2014-08-17 22:46:49+00:00,TeamFreakyLeg!!!,Oakman_Rules,I will sling you on your head. Not the real Shawn Oakman.,452.0,774.0,18052.0,,set(['']),madflavor,Joey CoCo Diaz,0.0,144862.0,[u'madflavor'],[u'Joey CoCo Diaz'],[0],True,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,North America,735463.1569444444,2014-08-17 22:46:49
1172696,It's carnage in #Ferguson,,,Sugar Hill,,2014-08-18 03:46:49+00:00,America/Lima,2014-08-17 22:46:49+00:00,Geronimo Jenkins,TheyHateGeronJ,IG:NeverForgetGeronJ Young nigga after dollar bills. #KnicksTape #KSU15,2624.0,2795.0,58902.0,0.0,set(['ferguson']),,,,,,,[],False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,South America,735463.1569444444,2014-08-17 22:46:49
1172697,The officer did his job and to arrest him would set a dangerous precedent that inhibits LE from doing their jobs @Locs_n_Laughs #Ferguson,,,,,2014-08-18 03:46:49+00:00,,,-,DAJSamarasinghe,Zionist,1684.0,1001.0,12003.0,,set(['ferguson']),,,,,[u'Locs_n_Laughs'],[u'LZ Granderson'],[None],False,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,,,735463.1569444444,
1172698,"""I didn't get tear gassed serving in Iraq, but I come home and have to deal with this?"" US Vet Lisha Williams in #Ferguson to @CNN",,,Northern Virginia/DC,,2014-08-18 03:46:49+00:00,America/Halifax,2014-08-18 00:46:49+00:00,Marcos W,HockeyTarheel,A beast of a Hockey Player. Puck Daddy.,2000.0,439.0,24398.0,0.0,set(['ferguson']),kbeninato,Karen DaltonBeninato,1.0,6179.0,"[u'kbeninato', u'CNN']","[u'Karen DaltonBeninato', u'CNN']","[1, None]",True,27.0,72.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,,South America,735463.1569444444,2014-08-18 00:46:49
1172699,"Oookay, so story shifts: Peaceful protest. --&gt; Happy people. --&gt; Fireworks. --&gt; Tear gassed kids. --&gt; Media at gunpoint. #Ferguson",,,NYC,,2014-08-18 03:46:50+00:00,America/Halifax,2014-08-18 00:46:50+00:00,StrikeDebt,StrikeDebt,"You are not a loan. 
Pledge one tweet/day for our People's Mic: http://donateyouraccount.com/StrikeDebt",5696.0,16619.0,11447.0,,set(['ferguson']),b9AcE,@b9AcE,,1999.0,[u'b9AcE'],[u'@b9AcE'],[None],True,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,,South America,735463.1569444444,2014-08-18 00:46:50
1172700,"they were taking calls from people on the street in ferguson.. ended a call seemingly abruptly and then just rolled tape on ""lockdown""",,,"Chicago, IL ",,2014-08-18 03:46:50+00:00,,,Greg Thomas ,minossec,"Information Security Engineer, Marine, Protestor, Speaker, Goggles Genius. infosecgregorie@gmail.com",388.0,3618.0,4246.0,0.0,set(['']),loon,loon,,608.0,[u'loon'],[u'loon'],[None],True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,735463.1569444444,
1172701,My heart goes out to everyone in #Ferguson tonight. Please be safe!,,,"Bel air, Maryland ",,2014-08-18 03:46:50+00:00,America/Chicago,2014-08-17 22:46:50+00:00,Khalil〽️,Showtime_Cuatro,From RVA 2⃣❗️⬇️,684.0,973.0,36756.0,0.0,set(['ferguson']),YoungJeezy,SnowGo,,759616.0,[u'YoungJeezy'],[u'SnowGo'],[None],True,40.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,North America,735463.1569444444,2014-08-17 22:46:50
1172702,Obama Goes To A Jazz Concert While Race Riots Explode For Another Night In #Ferguson - http://t.co/N9XNAUL09S http://t.co/e98k2tEtFw,,,,,2014-08-18 03:46:50+00:00,,,sameezy,sammy_abdel,Palestinian Venezuelan,131.0,255.0,34704.0,,set(['ferguson']),MarcHilliker,Marc Hilliker,0.0,40138.0,[u'MarcHilliker'],[u'Marc Hilliker'],[0],True,75.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,735463.1569444444,
1172703,This is disgusting what the police are doing in Ferguson. I pray for safety and peace. Sad times we're living in.,,,Army Brat ✈️ Chicago,,2014-08-18 03:46:51+00:00,America/Chicago,2014-08-17 22:46:51+00:00,Ebby O,ebonykissez,Grambling State University Alumna! Grad Student. On my way to greatness.,399.0,542.0,41411.0,,set(['']),callmedollar,ᴅᴏʟʟᴀʀ,,22445.0,[u'callmedollar'],[u'\u1d05\u1d0f\u029f\u029f\u1d00\u0280'],[None],True,4.0,27.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,,North America,735463.1569444444,2014-08-17 22:46:51
1172704,#Ferguson is not trending. But #HowToGetABoyfriend is.,,,nyc,,2014-08-18 03:46:51+00:00,,,Harold Itzkowitz,HaroldItz,"VP of advertising, writer, film critic, fan of classic film, theater, good books & progressive politics. Opinions are correct. Fun with a purpose.",5591.0,6420.0,120190.0,0.0,"set(['howtogetaboyfriend', 'ferguson'])",,,,,,,[],False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,735463.1569444444,
1172705,"J.Cole has gotta be the REALEST rapper alive, Here's him in Ferguson showing respect to the slain spot of Mike Brown http://t.co/rzrruYsaND",,,,,2014-08-18 03:46:51+00:00,America/Los_Angeles,2014-08-17 20:46:51+00:00,savier,jawnseca,im a baller lowkey,345.0,410.0,16115.0,,set(['']),AugustLeoSeason,Nile is Famouss,,288878.0,[u'AugustLeoSeason'],[u'Nile is Famouss'],[None],True,415.0,685.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,North America,735463.1569444444,2014-08-17 20:46:51
1172706,"Cops are telling people to ""put their phone in their pockets"".  #Ferguson HOLY FUCK!",,,Texas,,2014-08-18 03:46:51+00:00,America/Chicago,2014-08-17 22:46:51+00:00,Karen Paradis,krparadis,Musician & composer. Bassoon is the main thing though interested in so much more.,623.0,317.0,7677.0,1.0,set(['ferguson']),TheAuthorGuy,Christopher Moore,0.0,33412.0,[u'TheAuthorGuy'],[u'Christopher Moore'],[0],True,8.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,North America,735463.1569444444,2014-08-17 22:46:51
1172707,America can learn a lot from the indomitable will and power of the #Ferguson community.,,,"Hollywood, CA",,2014-08-18 03:46:51+00:00,America/Los_Angeles,2014-08-17 20:46:51+00:00,Michael Ruud,auteurtheory,New guy @YachtClubGames. Formerly of @Konami and @Ubisoft. I'm passionate about Game Design and User Experience.,289.0,802.0,3806.0,0.0,set(['ferguson']),,,,,,,[],False,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,North America,735463.1569444444,2014-08-17 20:46:51
1172708,Party at ferguson,,,Connecticut,,2014-08-18 03:46:51+00:00,America/New_York,2014-08-17 23:46:51+00:00,Gabs✨,Gabri3lleee,Gabrielle Laskarzewski. I got one hand in my pocket and the other one is giving the peace sign ✨ Anthropology major RIC '18,250.0,367.0,6256.0,,set(['']),JOEzQUINN,Joe's Shirt,,300.0,[u'JOEzQUINN'],"[u""Joe's Shirt""]",[None],True,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,North America,735463.1569444444,2014-08-17 23:46:51
